flag;title;topic;tags;date
-2.0;«Армавиа» задолжала России 54 миллиона рублей;Экономика;Бизнес;2013/03/29
-1.0;Сергею Удальцову продлили арест до августа;Россия;Политика;2013/04/01
1.0;Государство вернуло себе контроль над «Газпромом»;Экономика;Госэкономика;2013/04/01
-2.0;«Газпром» заподозрил мошенничество в реверсных поставках газа на Украину;Экономика;Госэкономика;2013/04/01
0.0;Сеул подготовил план упреждающего удара по КНДР;Мир;Политика;2013/04/01
2.0;«Лукойл» купил вовлеченную в скандал с ОПГ «Индейцы» нефтекомпанию;Экономика;Бизнес;2013/04/01
1.0;ВТБ поделится со шведами прибылью от перепродажи российской Tele2;Экономика;Бизнес;2013/04/02
1.0;Американский ипотечный гигант впервые после кризиса отчитался о прибыли;Экономика;Бизнес;2013/04/03
-2.0;Внешний долг России за квартал вырос на 50 миллиардов долларов;Экономика;Госэкономика;2013/04/03
2.0;ЦБ предложил обязать чиновников вкладываться в российские акции;Экономика;Госэкономика;2013/04/04
-1.0;Помощника депутата Пономарева арестовали по «болотному делу»;Россия;Политика;2013/04/04
-1.0;Северная Корея вынесла США новое предупреждение;Мир;Политика;2013/04/04
1.0;РЖД попросит у частного бизнеса 400 миллиардов рублей;Экономика;Госэкономика;2013/04/05
0.0;Судебные приставы опровергли избиение фигуранта «болотного дела»;Россия;Политика;2013/04/05
0.0;Инноград «Сколково» построят вопреки сомнениям в его целесообразности;Экономика;Госэкономика;2013/04/05
1.0;Россельхозбанк попросил сделать из него госкорпорацию;Экономика;Госэкономика;2013/04/08
2.0;Правительство направит на инновации 850 миллиардов рублей;Экономика;Госэкономика;2013/04/08
-1.0;ЦИК снова отказался покупать «электронные урны»;Россия;Политика;2013/04/09
1.0;«Роснефть» вывела из Сбербанка 200 миллиардов рублей;Экономика;Бизнес;2013/04/10
-2.0;Аномальная зима обошлась бюджету Москвы в 1,2 миллиарда рублей;Экономика;Госэкономика;2013/04/10
0.0;Венесуэла закрыла границы перед выборами;Мир;Политика;2013/04/10
-2.0;«Транснефть» заподозрили в завышении стоимости нефтепровода в Заполярье;Экономика;Бизнес;2013/04/11
-2.0;Чистая прибыль Первого канала сократилась в десять раз;Экономика;Бизнес;2013/04/11
0.0;Пехтин устроился на работу в «Русгидро»;Экономика;Бизнес;2013/04/11
0.0;Жириновский пообещал заплатить штрафы Лимонова;Россия;Политика;2013/04/12
0.0;Голландские власти опубликовали отчет о расследовании смерти Долматова;Мир;Политика;2013/04/13
-1.0;Повторный суд над Мубараком продлился несколько секунд;Мир;Политика;2013/04/13
0.0;Пхеньян отверг предложение Сеула о переговорах;Мир;Политика;2013/04/14
0.0;Московские «Гайд-парки» начали прием заявок;Россия;Политика;2013/04/15
0.0;Глава Дагестана устроил разнос подчиненным за разгул бандподполья;Россия;Политика;2013/04/15
1.0;Правительство освободит добровольные пенсии от двойного налогообложения;Экономика;Госэкономика;2013/04/16
2.0;Россия обнулит налоги для порта в Японском море;Экономика;Госэкономика;2013/04/16
1.0;Ненецкий округ назвали самым эффективным регионом;Россия;Политика;2013/04/18
0.0;Forbes опубликовал юбилейный рейтинг российских миллиардеров;Экономика;Деньги;2013/04/18
0.0;Комиссия по этике отказалась проверять развод Жириновского;Россия;Политика;2013/04/19
0.0;Депутата-коммуниста Ширшова обвинили в попытке продать мандат;Россия;Политика;2013/04/19
0.0;Оппозиция проведет марш в годовщину столкновений на Болотной площади;Россия;Политика;2013/04/20
0.0;Самым богатым британцем стал Алишер Усманов ;Экономика;Деньги;2013/04/21
0.0;На «прямой линии» с Путиным разрешили полемику;Россия;Политика;2013/04/22
1.0;Песков запретил чиновникам иметь недвижимость за рубежом;Россия;Политика;2013/04/22
0.0;Лидера кувейтской оппозиции выпустили под залог;Мир;Политика;2013/04/22
1.0;eBay подключил пользователей к борьбе против нового налога;Экономика;Госэкономика;2013/04/22
1.0;В «Шереметьево» сняли эмбарго на прием международной почты;Экономика;Бизнес;2013/04/23
1.0;Путин распорядился ограничить «золотые парашюты» в госкорпорациях;Экономика;Бизнес;2013/04/23
-1.0;Кудрин предупредил Путина об опасности экономических полумер;Экономика;Госэкономика;2013/04/25
2.0;Российская промышленность получит миллиард долларов на школьную форму;Экономика;Госэкономика;2013/04/25
1.0;Европейские дипломаты вернулись в Сомали после 20-летнего перерыва;Мир;Политика;2013/04/25
2.0;Бюджет добавит РЖД 10 миллиардов рублей на подмосковную инфраструктуру;Экономика;Бизнес;2013/04/25
-1.0;Минэнерго обвинило частные энергокомпании в неэффективности;Экономика;Бизнес;2013/04/25
0.0;Раритетные пять центов продали за 3 миллиона долларов;Экономика;Деньги;2013/04/26
-1.0;Власти США обвинили фармкомпанию Novartis в подкупе врачей;Экономика;Бизнес;2013/04/27
0.0;Новый король Нидерландов вступил на престол;Мир;Политика;2013/04/30
1.0;Белоруссия получила предпоследний транш кредита ЕврАзЭС;Экономика;Госэкономика;2013/04/30
1.0;Россия смягчила условия кредита Кипру;Экономика;Госэкономика;2013/05/06
0.0;Митинг на Болотной пройдет в усеченном формате;Россия;Политика;2013/05/06
0.0;Путин устроит министрам серию опросов в конце года;Россия;Политика;2013/05/07
0;Бывший губернатор Южной Каролины выиграл выборы в Конгресс;Мир;Политика;2013/05/08
1;Евро на Московской бирже подешевел на 30 копеек;Экономика;Рынки;2013/05/10
-2;ЕБРР снизил прогноз по росту российского ВВП в два раза;Экономика;Госэкономика;2013/05/10
0;За пост президента Ирана поборются 700 кандидатов;Мир;Политика;2013/05/12
0;Онищенко забраковал грузинский коньяк;Экономика;Госэкономика;2013/05/13
0;Пассажирский беспилотник совершил первый полет;Наука и техника;Техника;2013/05/13
-2;Чубайс предложил полностью приватизировать «Роснано»;Экономика;Госэкономика;2013/05/14
-2;У «Газпрома» и «Роснефти» появился конкурент за российский шельф;Экономика;Госэкономика;2013/05/14
0;«Сухой» назвал причину прерванного взлета SSJ-100 из «Шереметьево»;Экономика;Бизнес;2013/05/15
-1;Агентство Reuters назвало лидеров по выводу российского капитала с Кипра;Экономика;Госэкономика;2013/05/15
0.0;Бывший руководитель BP нашел работу в крупном горнодобытчике;Экономика;Бизнес;2013/05/16
-1;General Electric предупредила о дефектах в двигателях Boeing 777;Экономика;Бизнес;2013/05/16
-1;Мэрия Москвы отказала Лимонову в акции на Триумфальной;Россия;Политика;2013/05/17
-1;Блаватник нацелился на треть акций «Связного»;Экономика;Бизнес;2013/05/20
-1;Следственный комитет приготовился возбудить дело против Пономарева;Россия;Политика;2013/05/20
1;Частной компании впервые отдадут депо в московском метро;Экономика;Бизнес;2013/05/20
0;Бывший гендиректор «Норникеля» объявил об уходе из компании;Экономика;Бизнес;2013/05/20
0;Северная Корея запустила шестую ракету за три дня;Мир;Политика;2013/05/20
1;Минфин предложил направить на ремонт дорог нефтегазовые доходы;Экономика;Госэкономика;2013/05/21
0;Моралесу разрешили стать президентом Боливии в третий раз;Мир;Политика;2013/05/21
0;Правительство РФ обновило свой сайт;Россия;Политика;2013/05/21
0;Депутаты одобрили повышение налога на роскошные автомобили;Экономика;Госэкономика;2013/05/21
2;«Газпром» вложит в инновации миллиард долларов;Экономика;Бизнес;2013/05/22
1;«Ростех» займется утилизацией мусора;Экономика;Бизнес;2013/05/23
-1;BMW подала в суд на Роспатент;Экономика;Бизнес;2013/05/23
0;Шувалов попросил Путина провести еще одно совещание по экономике;Экономика;Госэкономика;2013/05/23
0;МИД назвал доклад Госдепа о свободе вероисповедания «политизированной агиткой»;Россия;Политика;2013/05/23
0;Обама разрешил перевозить узников Гуантанамо в Йемен;Мир;Политика;2013/05/24
0;Госдума занялась антикоррупционными тестами для чиновников;Россия;Политика;2013/05/27
1;«Алроса» объявила о выходе на Sotheby’s;Экономика;Бизнес;2013/05/27
0;Ученые превратили цемент в полупроводниковое стекло;Наука и техника;Техника;2013/05/28
0;Сурков отказался занять место Кадырова;Россия;Политика;2013/05/28
0;Бывший глава «Ростелекома» стал кандидатом в гендиректоры «Tele2-Россия»;Экономика;Бизнес;2013/05/29
2;Китайцы купят крупнейшего свиновода в мире;Экономика;Бизнес;2013/05/29
-1;Reuters связало рост безработицы в Германии с плохой погодой;Экономика;Госэкономика;2013/05/29
1;Объявлен сбор средств на постройку частного космического телескопа;Наука и техника;Техника;2013/05/30
-1;Водочный завод «Кристалл» прекратил работу;Экономика;Бизнес;2013/05/31
0;Гонконгский Starbucks уличили в использовании воды из туалета;Экономика;Бизнес;2013/05/31
1;Зона свободной торговли СНГ расширилась до девяти стран;Экономика;Госэкономика;2013/05/31
0;Аббас назначил нового премьер-министра Палестинской автономии;Мир;Политика;2013/06/02
-1;Сотрудникам «Газпрома» запретили давать невыполнимые обещания;Экономика;Бизнес;2013/06/03
0;Ульяновский губернатор уволил министра со второго раза;Россия;Политика;2013/06/03
0;Рассмотрение закона о выборах в Госдуму перенесут на осень;Россия;Политика;2013/06/03
0;Из реестра туроператоров исключили 260 компаний;Экономика;Бизнес;2013/06/04
0;Американский сенатор связал сексуальное насилие в армии с «уровнем гормонов»;Мир;Политика;2013/06/05
0;Каспаров назвал причину отъезда за границу;Россия;Политика;2013/06/06
0;Навальный впервые не приехал на суд в Кирове;Россия;Политика;2013/06/13
-1;ВЭБ усомнился в возврате олимпийских кредитов;Экономика;Госэкономика;2013/06/14
0;Турецкая полиция разогнала протестующих в парке Гези;Мир;Политика;2013/06/15
0;Собянин официально выдвинулся в мэры Москвы;Россия;Политика;2013/06/17
0;Обама пообещал помочь обеспечить безопасность на Олимпиаде в Сочи;Мир;Политика;2013/06/18
0;Жириновский объяснил уход депутата Овсянникова из Госдумы;Россия;Политика;2013/06/18
-2;Норвежцы подадут в суд на «Норникель» за вредные выбросы;Экономика;Бизнес;2013/06/18
0;Минфин выступил против тайного сокращения пенсионных накоплений россиян;Экономика;Госэкономика;2013/06/20
0;«Клуб богатых стран» раскритиковал российскую пенсионную реформу;Экономика;Госэкономика;2013/06/20
0;Первый посланник Косово в Сербии уволился через два дня работы;Мир;Политика;2013/06/20
0;В мэры Москвы выдвинулся режиссер с телеканала «Культура»;Россия;Политика;2013/06/21
0;Глава Минэкономразвития нашел заинтересованность США в укреплении рубля;Экономика;Госэкономика;2013/06/21
0;Сноуден обвинил британские спецслужбы в тотальной слежке за гражданами;Мир;Политика;2013/06/22
1;На Петербургском форуме заключили контракты на 10 триллионов рублей;Экономика;Госэкономика;2013/06/22
0;Набиуллина вступила в должность председателя ЦБ;Экономика;Госэкономика;2013/06/24
0;Эмир Катара отрекся от власти;Мир;Политика;2013/06/25
-1;Двух активистов оштрафовали за флаг «Левого фронта» на шествии;Россия;Политика;2013/06/25
1;Российские энергетики потребовали с IKEA еще миллиард долларов;Экономика;Бизнес;2013/06/26
0;Принятие закона об абортах в Техасе сорвали 11-часовой речью;Мир;Политика;2013/06/26
0;В Москве отказались провести первый за 20 лет референдум;Россия;Политика;2013/06/26
0;Медведев предложил объединить данные об инвестпрограммах монополий;Экономика;Госэкономика;2013/06/26
0;Нарышкин предложил пощадить рядовых участников финансовых пирамид;Экономика;Деньги;2013/06/27
0;Министр обороны Ливии отправлен в отставку;Мир;Политика;2013/06/27
0;Обама пообещал не перехватывать самолет со Сноуденом;Мир;Политика;2013/06/27
-2;Чиновники предсказали падение цен на нефть ниже 100 долларов за баррель;Экономика;Госэкономика;2013/06/28
-1;Китайскую компанию обвинили в краже технологий у американцев;Экономика;Бизнес;2013/06/28
0;Спецслужбы США шпионили за чиновниками Евросоюза;Мир;Политика;2013/06/30
-1;В Египте начались столкновения между демонстрантами;Мир;Политика;2013/06/30
1;Путин подписал закон о борьбе с отмыванием денег;Экономика;Госэкономика;2013/07/01
0;В интернете запустили афишу заседаний по «болотному делу»;Россия;Политика;2013/07/01
0;Россияне потеряли интерес к курсам доллара и евро;Экономика;Рынки;2013/07/01
-1;«Вымпелком» отказался от услуг «Связного»;Экономика;Бизнес;2013/07/02
0;Обещания Путина выполнят за счет здравоохранения и образования;Экономика;Госэкономика;2013/07/03
0;Президент Ирана призвал духовенство меньше вмешиваться в личную жизнь;Мир;Политика;2013/07/03
-1;Украина пригрозила закрыть свои порты для российского зерна;Экономика;Госэкономика;2013/07/03
0;Генпрокуратура уличила Минюст в нарушениях при проверке НКО;Россия;Политика;2013/07/04
0;Египетские военные подтвердили задержание Мурси;Мир;Политика;2013/07/04
1;Индийская авиакомпания решила для экономии нанимать только женщин;Экономика;Бизнес;2013/07/04
0;В плане по борьбе с офшорами нашлось место женам чиновников;Экономика;Госэкономика;2013/07/05
0;Госдума одобрила налог на дорогие автомобили;Экономика;Госэкономика;2013/07/05
0;Сторонников Навального позвали на Манежную площадь;Россия;Политика;2013/07/05
0;Смена власти в Египте испугала российских туристов;Экономика;Бизнес;2013/07/05
0;Навальный выступил с последним словом;Россия;Политика;2013/07/05
-1;Standard & Poor's снизило рейтинг Италии;Экономика;Госэкономика;2013/07/09
0;Портрет Януковича отчеканят на золотой монете;Экономика;Деньги;2013/07/09
0;Ростуризм предложил ввести чеки на отпуск;Экономика;Бизнес;2013/07/10
0;МВД объявило Илью Пономарева организатором беспорядков на Болотной;Россия;Политика;2013/07/10
-1;Финдиректора завода Дерипаски арестовали;Экономика;Бизнес;2013/07/13
-1;Глава «Спецстроя» лишился поста из-за допроса по делу «Оборонсервиса»;Россия;Политика;2013/07/15
1;РЖД запустили первый обновленный «Сапсан»;Экономика;Бизнес;2013/07/16
0;Собянина зарегистрировали кандидатом в мэры;Россия;Политика;2013/07/16
0;Астронавты МКС вышли в космос для прокладки локальной сети;Наука и техника;Техника;2013/07/16
1;Россия и Украина договорились о совместном производстве «Русланов»;Экономика;Бизнес;2013/07/17
0;Белый дом осудил приговор Навальному;Мир;Политика;2013/07/18
1;США развернули строительство нового разведцентра в Германии;Мир;Политика;2013/07/18
0;Бывший самарский губернатор возглавил «Вертолеты России»;Экономика;Бизнес;2013/07/18
-1;В Москве задержали больше ста человек;Россия;Политика;2013/07/19
0;Губернатор Мичигана назвал неправильным спасение Детройта за счет государства;Экономика;Госэкономика;2013/07/22
0;Правительство Дагестана отправлено в отставку;Россия;Политика;2013/07/22
0;Песков попросил не «примешивать» Путина к освобождению Навального;Россия;Политика;2013/07/22
-1;Налоговики сообщили о падении сборов в бюджет;Экономика;Госэкономика;2013/07/23
0;Решение об экстрадиции националиста Горячева в РФ пересмотрят;Россия;Политика;2013/07/24
-1;Япония пожаловалась в ВТО на российский утилизационный сбор;Экономика;Госэкономика;2013/07/24
0;Египетская прокуратура выдала ордер на арест лидера «Братьев-мусульман»;Мир;Политика;2013/07/24
1;Российские мини-пивоварни освободили от счетчиков;Экономика;Бизнес;2013/07/24
0;Минфин задумал провести серию лотерей к Чемпионату мира по футболу 2018 года;Экономика;Госэкономика;2013/07/25
2;Акции Facebook взлетели на 27 процентов;Экономика;Рынки;2013/07/25
-2;Акции «Уралкалия» обвалились на 11 процентов с начала недели;Экономика;Рынки;2013/07/25
-1;В Конгресс США внесли законопроект о санкциях за предоставление убежища Сноудену;Мир;Политика;2013/07/26
1;Один из крупнейших подрядчиков «Газпрома» займется строительством метро;Экономика;Бизнес;2013/07/26
0;В рейтинге мировых автопроизводителей сменился лидер;Экономика;Бизнес;2013/07/26
1;Владелец МТС заинтересовался крупнейшим мобильным оператором Чехии;Экономика;Бизнес;2013/07/26
0;Глава Европарламента призвал остановить насилие в Египте;Мир;Политика;2013/07/28
0;Израиль освободил более 100 палестинских заключенных;Мир;Политика;2013/07/28
